,City,Latitude,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,-46.19,53.01,72,97,13.0
1,Esperance,-33.87,53.6,100,72,7.67
2,Balkanabat,39.51,40.21,54,100,12.53
3,Saint George,37.1,64.94,23,1,3.36
4,Hualmay,-11.1,68.14,71,34,10.83
5,Atuona,-9.8,78.19,75,23,15.7
6,Margate,51.38,50.86,82,100,1.99
7,Vaini,-21.2,77.0,78,75,8.05
8,Kapaa,22.08,79.68,78,90,18.34
9,Westport,41.14,58.91,44,40,8.05
10,Ilulissat,69.22,24.8,58,100,16.11
11,Olafsvik,64.89,35.28,84,100,10.98
12,Port Hardy,50.7,45.3,81,75,18.34
13,Puerto Carreño,6.19,82.74,78,100,3.24
14,Carbonia,39.17,49.15,81,20,3.36
15,Kassala,15.45,73.53,65,5,6.93
16,Sīrjān,29.45,52.47,56,100,7.78
17,Vao,-22.67,73.36,76,11,12.91
18,Asău,46.43,28.0,100,0,2.42
19,Provideniya,64.38,30.52,97,100,23.96
20,Hobart,-42.88,61.97,63,75,9.17
21,Yellowknife,62.46,-6.29,83,20,8.05
22,Yulara,-25.24,80.6,47,100,2.62
23,Hithadhoo,-0.6,81.9,77,100,10.58
24,Bredasdorp,-34.53,62.6,77,100,6.93
25,Busselton,-33.65,48.99,87,0,7.74
26,Acapulco de Juárez,16.86,86.0,66,5,11.41
27,Naze,28.37,64.4,93,20,3.36
28,Norman Wells,65.28,1.4,84,20,9.17
29,Bengkulu,-3.8,76.62,90,100,10.69
30,Camacha,33.08,66.2,82,20,4.7
31,Cape Town,-33.93,62.83,72,40,5.82
32,Pacific Grove,36.62,64.54,26,1,4.7
33,Värnamo,57.19,45.0,94,65,3.0
34,Albany,42.6,45.95,50,95,1.01
35,Lumeje,-11.55,68.67,90,93,3.09
36,Hasaki,35.73,39.69,100,20,2.24
37,Bluff,-46.6,53.01,72,74,13.0
38,Port Alfred,-33.59,68.04,75,90,27.16
39,Oranjemund,-28.55,62.56,77,98,11.68
40,Talnakh,69.49,24.8,100,0,15.66
41,Kīhei,20.79,78.57,54,40,25.28
42,Maracaibo,10.63,82.42,76,86,6.73
43,Puerto Ayora,-0.74,74.5,65,40,12.75
44,Sabha,27.04,56.68,47,11,3.8
45,Söderhamn,61.3,39.99,90,31,5.01
46,Rikitea,-23.12,73.74,62,0,3.51
47,Ushuaia,-54.8,59.0,47,75,2.24
48,Butaritari,3.07,81.5,75,91,14.34
49,Hong Kong,22.29,70.66,89,91,9.44
50,Tiksi,71.69,-3.14,90,0,7.99
51,Fowa,8.92,79.99,40,4,2.66
52,Maniitsoq,65.42,24.8,96,100,16.64
53,Kushmurun,52.45,15.1,91,0,3.49
54,Airai,-8.93,62.98,90,25,2.37
55,Severo-Kuril'sk,50.68,31.15,93,92,11.25
56,Nanning,22.82,69.8,94,40,4.47
57,Ponta do Sol,32.67,64.27,82,20,8.05
58,Tautira,-17.73,84.2,70,40,10.29
59,Sauteurs,12.22,80.6,83,40,17.22
60,Hilo,19.73,77.16,65,40,9.17
61,Verkhnyaya Inta,65.98,27.68,98,100,12.91
62,Hermanus,-34.42,62.01,78,100,7.85
63,Zhigansk,66.77,-4.32,91,100,20.2
64,Seybaplaya,19.65,86.0,62,40,11.41
65,Barrow,71.29,10.4,85,1,11.41
66,Atbasar,51.8,10.36,91,94,4.05
67,Mar del Plata,-38.0,67.5,68,40,18.34
68,Hambantota,6.12,77.41,80,100,6.78
69,Le Vauclin,14.55,78.8,69,20,17.22
70,Hellvik,59.92,45.37,84,82,11.99
71,Nikolskoye,59.7,34.14,80,75,13.42
72,Sobolevo,54.43,28.56,98,6,8.79
73,Ribeira Grande,38.52,60.8,77,20,8.05
74,Plettenberg Bay,-34.05,63.3,80,77,10.74
75,New Norfolk,-42.78,61.45,59,100,0.45
76,Dikson,73.51,15.19,95,47,13.11
77,Arraial do Cabo,-22.97,74.43,64,75,8.05
78,Faya,18.39,58.08,50,0,2.21
79,Clyde River,70.47,3.2,91,40,11.41
80,San Quintín,30.48,70.02,60,89,12.64
81,Dakar,14.69,78.8,83,0,7.85
82,Chardara,41.25,26.42,94,100,10.36
83,George Town,5.41,75.96,94,20,4.12
84,Níjar,36.97,59.0,67,20,6.93
85,Pemangkat,1.17,76.46,87,98,3.51
86,Grand Gaube,-20.01,72.0,71,10,3.0
87,Iquique,-20.22,66.2,63,0,19.46
88,Carnarvon,-24.87,69.8,52,43,21.92
89,Bahār,34.91,40.1,83,96,5.86
90,Chicama,-7.84,66.2,77,60,13.87
91,Gorey,52.67,45.0,83,1,1.01
92,Lerwick,60.15,46.4,75,56,41.38
93,East London,-33.02,72.72,57,98,14.99
94,Leshukonskoye,64.9,30.02,96,96,9.66
95,Ancud,-41.87,49.68,82,75,8.05
96,Katsuura,35.13,53.6,66,40,9.17
97,Bereket,39.24,33.55,67,100,27.25
98,Dunedin,-45.87,51.66,76,96,5.99
99,Makīnsk,52.63,14.43,88,34,5.48
100,Sisimiut,66.94,24.17,90,100,13.78
101,Kavieng,-2.57,83.75,66,88,9.04
102,São Gabriel da Cachoeira,-0.13,78.37,92,85,0.63
103,Skibbereen,51.55,44.6,87,40,4.7
104,Punta Arenas,-53.15,57.2,58,75,14.99
105,Kruisfontein,-34.0,66.0,75,76,5.01
106,Takaungu,-3.68,80.6,83,75,3.36
107,Harbin,45.75,-2.2,91,0,4.47
108,Te Anau,-45.42,50.23,67,77,3.53
109,Turukhansk,65.82,26.62,98,100,16.13
110,Qaanaaq,77.48,3.16,90,44,3.51
111,Codrington,-38.27,63.63,85,100,4.32
112,Fortuna,40.6,56.59,62,1,11.41
113,Longyearbyen,78.22,21.2,79,75,3.06
114,Saldanha,-33.01,60.8,77,99,2.24
115,Lewistown,40.6,51.55,87,75,4.27
116,Manhush,47.06,32.0,25,100,5.99
